ID	ActiveDriverWGS1	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml
smallrna.ncrna::gencode::5S_rRNA::ENSG00000201285.1	0.198713764935907	0.198713764935907	0.9997890457690823	0.517141293965725	0.50254
smallrna.ncrna::gencode::5S_rRNA::ENSG00000212595.1	1	1	0.9970516777777579	1	NA
smallrna.ncrna::gencode::5S_rRNA::ENSG00000261122.2	0.701155763699852	0.701155763699852	0.9979213430339977	0.892874254315005	0.40988
smallrna.ncrna::gencode::5S_rRNA::ENSG00000271924.1	1	1	1.0000000000000002	1	NA
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272253.1	1	1	0.999999904337267	1	NA
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272351.1	1	1	1.0	1	NA
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272435.1	1	1	1.0	1	NA
smallrna.ncrna::gencode::7SK::ENSG00000232512.2	0.869243119495418	0.869243119495418	0.6498024207364068	0.765084991235389	0.34934
smallrna.ncrna::gencode::7SK::ENSG00000249352.3	0.247785963995609	0.247785963995609	0.014248985501741303	0.189241521225827	0.2183
smallrna.ncrna::gencode::7SK::ENSG00000254144.2	1	1	0.999392652099483	1	NA
smallrna.ncrna::gencode::7SK::ENSG00000260682.2	0.933832195058477	0.933832195058477	0.14023439334039958	0.991506186134167	0.52776
smallrna.ncrna::gencode::7SK::ENSG00000271765.1	0.454997120454026	0.454997120454026	0.9994164479017862	0.80237161947533	0.61139
smallrna.ncrna::gencode::7SK::ENSG00000271814.1	0.606669749468354	0.606669749468354	0.998056522093443	0.30181346959582	0.82577
smallrna.ncrna::gencode::7SK::ENSG00000271818.1	1	1	0.999184012540805	1	NA
smallrna.ncrna::gencode::ACA59::ENSG00000251775.1	1	1	0.998774152653992	1	NA
smallrna.ncrna::gencode::ACA59::ENSG00000252000.1	1	1	0.0656255550961019	0.685851650873536	0.11901
smallrna.ncrna::gencode::ACA59::ENSG00000252870.1	0.0235295404719567	0.0235295404719567	0.2360935851463604	0.144988560214107	0.74127
smallrna.ncrna::gencode::ACA64::ENSG00000238685.1	1	1	0.9909021259390995	1	NA
smallrna.ncrna::gencode::ACA64::ENSG00000238934.1	1	1	0.9993304452291668	1	NA
smallrna.ncrna::gencode::ACA64::ENSG00000239005.1	1	1	0.9983075186430521	1	NA
smallrna.ncrna::gencode::ACA64::ENSG00000239008.1	0.288515996463905	0.288515996463905	0.9999769321513196	0.0999334561842665	0.52173
