ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
lncrna.ncrna::gencode::A1BG-AS1::ENSG00000268895.1	0.881092205068741	0.384434353515385	0.914628811258333	0.00484	0.158781122186284	0.111667195771894	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::A2M-AS1::ENSG00000245105.1	0.419182076306449	0.999139732394597	0.620633127528657	0.40869	0.706864588609372	0.811006960612361	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::A2MP1::ENSG00000256069.3	0.067924834927026	0.188813647411287	0.349137455403372	0.60227	0.200812670536121	0.158887597553429	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::ABCA17P::ENSG00000238098.4	0.501745397729976	0.146739121846814	0.466593307489976	0.63105	0.434492923388488	0.467076314464429	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::ABCC13::ENSG00000243064.4	0.18846152548958	0.834598906191404	0.173387758838927	0.94546	0.460673055279123	0.502959321904379	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC000111.3::ENSG00000232661.1	1	0.999999999999576	1	NA	1	1	2.0708753957894	2.89732545579492
lncrna.ncrna::gencode::AC000123.4::ENSG00000224138.1	1	0.997260411694546	1	NA	0.999947234479044	0.999999996566019	2.0708753957894	2.89732545579492
lncrna.ncrna::gencode::AC000124.1::ENSG00000226770.1	0.488333005220075	0.0135440902550431	0.128719752889879	0.04969	0.034403199368675	0.00981461292045573	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC002116.7::ENSG00000267698.1	0.865526287271815	0.999818381857996	0.898817709945075	0.9935	0.994756800961913	0.99985013066493	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC002368.4::ENSG00000237741.1	1	0.999999999780221	1	NA	0.999999999999997	1	2.0708753957894	2.89732545579492
lncrna.ncrna::gencode::AC002398.11::ENSG00000267439.1	0.632559374542928	0.0958208361612827	0.554852311762429	0.1751	0.271607523776835	0.24662339970982	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC002398.13::ENSG00000267049.1	1	0.999540411976964	0.863967061663723	0.18292	0.780712258962128	0.883890194861511	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC002401.1::ENSG00000236472.1	0.739727240772757	0.999123394191716	0.837045642608015	0.61453	0.927214926788671	0.98296162830434	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC002454.1::ENSG00000237819.1	0.506211269875429	0.653802358224591	0.788099443466721	0.50916	0.748552685493256	0.853701494755863	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC002456.2::ENSG00000223969.1	0.90774491917145	0.999986812824161	0.934487461714702	0.08183	0.628201501386144	0.721205832729404	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC002463.3::ENSG00000223646.1	0.481418880193532	0.582103562946521	0.186751222933695	0.70149	0.517140459584813	0.579310959606077	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC002467.7::ENSG00000241764.3	0.884740299035772	0.373970190181388	0.765644643965722	0.92776	0.851771841102408	0.940706385715785	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC003088.1::ENSG00000226965.1	0.566118818164499	1	0.972162360073227	0.7825	0.943693490569748	0.989196325910763	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC003665.1::ENSG00000234494.3	0.814864578245069	0.999976243435048	0.973773540263547	0.5922	0.954231840918338	0.992532274335989	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC003956.1::ENSG00000268564.1	0.764448838534422	0.997945302330491	0.844988953664959	0.02611	0.398186561902544	0.417133465941453	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC003985.1::ENSG00000233824.1	1	0.999995380092271	1	NA	0.999999994934625	1	2.0708753957894	2.89732545579492
lncrna.ncrna::gencode::AC003986.5::ENSG00000229533.1	0.823174713138552	0.0742172692062796	0.5443710714873	0.00192	0.0413281413243597	0.0132494051018164	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC003986.6::ENSG00000232821.1	0.875434125158456	0.933246410872895	0.99949029805728	0.307	0.862744310977248	0.948113720146508	1.83021295128671	4.37107605121889
lncrna.ncrna::gencode::AC004041.2::ENSG00000223442.1	0.78763759646968	0.13686514083176	0.96325427151885	0.24271	0.457168069054275	0.498167435577402	1.83021295128671	4.37107605121889
