MutationType	ID83A	ID83B
1:Del:C:0	0.0016948892967775463	0.064493378251791
1:Del:C:1	0.0012847251957282424	0.03764302581548691
1:Del:C:2	0.001889589661732316	0.022769952937960625
1:Del:C:3	0.00538399899378419	0.011407280340790749
1:Del:C:4	0.01455269567668438	0.00421658419072628
1:Del:C:5	0.03175421729683876	0.000991071664611809
1:Del:T:0	0.001654888642951846	0.03335854709148407
1:Del:T:1	0.00196495212148875	0.02277776561677456
1:Del:T:2	0.003810685174539685	0.026024140790104865
1:Del:T:3	0.015350576676428317	0.02423478364944458
1:Del:T:4	0.04325158447027207	0.01514171864837408
1:Del:T:5	0.5900806307792663	0.011859704286325722
1:Ins:C:0	0.002128280233591795	0.009642554447054863
1:Ins:C:1	0.0003165436501149088	0.0018804019549861551
1:Ins:C:2	0.00029814631561748685	0.0020843496778979896
1:Ins:C:3	0.0009680531919002533	0.00178054163698107
1:Ins:C:4	0.0031734970863908528	0.0010848408797755837
1:Ins:C:5	0.012500349804759026	0.012453002110123634
1:Ins:T:0	0.0009783392073586584	0.00764342350885272
1:Ins:T:1	0.0009017869248054922	0.018737756460905076
1:Ins:T:2	0.007060992252081633	0.009272788092494011
1:Ins:T:3	0.00442512733861804	0.008044954016804695
1:Ins:T:4	0.0049881039187312124	0.013217010535299778
1:Ins:T:5	0.16523162126541138	0.3528143346309662
2:Del:R:0	0.0015928476583212613	0.007607420347630978
2:Del:R:1	0.004921785742044449	0.01438266858458519
2:Del:R:2	0.002856536163017154	0.004467290360480547
2:Del:R:3	0.010298198647797107	0.0001190402833827876
2:Del:R:4	0.0071929462254047396	0.00021480378052842752
2:Del:R:5	0.011184645444154739	2.4243279739266713e-08
3:Del:R:0	0.00032931252790149303	0.004085841169580817
3:Del:R:1	0.005935044679790735	0.016255144216120242
3:Del:R:2	0.0022251560352742673	0.0031856438145041466
3:Del:R:3	0.001339147170074284	0.00043667132849805056
3:Del:R:4	0.0004145667422562838	1.39190834179459e-05
3:Del:R:5	0.0005340503179468214	2.9954079381155906e-05
4:Del:R:0	0.00017967355670407416	0.0048688730224967
4:Del:R:1	0.0024942230433225633	0.00859799338504672
4:Del:R:2	0.0012985345325432717	0.0019389646127820014
4:Del:R:3	0.00046753091737627983	0.0009063766221515835
4:Del:R:4	0.00040698299126233904	1.0575968980575112e-05
4:Del:R:5	0.00046132048591971395	0.00029355656006373464
5:Del:R:0	0.0001836371491663158	0.030746102333068848
5:Del:R:1	0.0006073698168620467	0.004845893708989024
5:Del:R:2	0.00039246795931831003	0.00015069032801804383
5:Del:R:3	0.0002212348801549524	1.6943504003563704e-05
5:Del:R:4	9.440381472813897e-05	2.4308312873699833e-08
5:Del:R:5	3.730433418240864e-05	0.0001305000070715323
2:Ins:R:0	0.00059682906139642	0.0038014257326722143
2:Ins:R:1	0.0002470410836394876	0.004471773328259587
2:Ins:R:2	0.00016581872769165783	0.0027586739044636486
2:Ins:R:3	0.0008330824202857912	0.0011196823092177511
2:Ins:R:4	0.0033212693408131598	0.0010115798329934477
2:Ins:R:5	0.011839741840958595	0.005818463396281004
3:Ins:R:0	3.310272550152149e-05	0.0010358632425777614
3:Ins:R:1	2.7786554892372805e-05	0.0034338247962296007
3:Ins:R:2	5.984272138448432e-05	0.0010181123856455089
3:Ins:R:3	5.605079095403198e-05	4.722382051838281e-05
3:Ins:R:4	0.00015643282458768226	2.454589171918542e-08
3:Ins:R:5	0.0011709988000802695	0.0014861773699522019
4:Ins:R:0	0.00012930832308484242	0.0011017942102625965
4:Ins:R:1	7.178805662988452e-06	0.004205462196841836
4:Ins:R:2	3.803810031968169e-05	0.00022453760902862996
4:Ins:R:3	0.0002300524152815342	0.0001264802735363446
4:Ins:R:4	0.00011275923170614988	0.00034497123560868205
4:Ins:R:5	0.0001663845658185892	0.001372334989719093
5:Ins:R:0	5.79911342356354e-05	0.0023301637498661875
5:Ins:R:1	5.817074634251185e-06	0.01237851046025753
5:Ins:R:2	0.0	0.00037533367867581546
5:Ins:R:3	1.9973185044364072e-05	0.00041969132144004107
5:Ins:R:4	2.65770501755469e-05	0.00023277619329746811
5:Ins:R:5	2.9722477665927727e-05	0.0006978001794777811
2:Del:M:1	0.003642604500055313	0.01503862366080284
3:Del:M:1	0.0001677449356066063	0.0029741743579506873
3:Del:M:2	0.002455007703974843	0.007186789996922016
4:Del:M:1	0.00031698727689217777	0.004004191886633634
4:Del:M:2	0.0009324665181338788	0.00493345083668828
4:Del:M:3	0.0012852683081291615	0.007724607270210982
5:Del:M:1	0.00010127130954060704	0.028748497366905212
5:Del:M:2	8.051104523474351e-05	0.023466504365205764
5:Del:M:3	0.00010868321114685387	0.01837535798549652
5:Del:M:4	9.51140871620737e-05	0.00949125960469246
5:Del:M:5	0.0001693943078862503	0.011365088261663913
