"","to","sim"
"hdp.1","SBS22",0.992184504273754
"hdp.2","SBS24",0.980168903055532
"hdp.3","SBS12",0.854319369489897
"hdp.4","SBS8",0.897337785543949
"hdp.5","SBS17b",0.93078147899155
"hdp.6","SBS30",0.977171402187439
"hdp.7","SBS25",0.77484464704906
"hdp.8","SBS40",0.731815732100074
"hdp.9","SBS29",0.95305027972353
"hdp.10","SBS6",0.820201486464041
"hdp.11","SBS16",0.981813699047141
"hdp.12","SBS1",0.85186404114944
"hdp.13","SBS12",0.817385292259267
"hdp.14","SBS5",0.933634490143645
"hdp.15","SBS23",0.984820878192145
"hdp.16","SBS85",0.802842976536226
"hdp.17","SBS22",0.856444955326071
"hdp.18","SBS40",0.853459151768521
"hdp.19","SBS40",0.809900643770562
"hdp.20","SBS39",0.894738037169883
"hdp.21","SBS16",0.815261508153717
"hdp.22","SBS92",0.75887223722728
