MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	0.0015763078816235065	0.03138723149895668	0.12571616023778914	0.04549332186579704
1:Del:C:1	0.0012623785994946956	0.014716966822743417	0.08478142470121383	0.018575434759259223
1:Del:C:2	0.0019297363935038448	0.006315681431442499	0.05803386941552162	0.009143629670143127
1:Del:C:3	0.005522073619067669	0.004743566410616041	0.022947539389133454	0.012706813029944896
1:Del:C:4	0.015118102543056011	0.0013436012610327452	0.012551970593631268	0.001869915146380663
1:Del:C:5	0.03323291689157486	0.001390086766332388	0.00388844283297658	0.002231068955734372
1:Del:T:0	0.0014434027718380094	0.010140056256204844	0.07733010649681091	0.025291689299046995
1:Del:T:1	0.0019573149736970665	0.007214225176721811	0.05134032741189003	0.018912087380886077
1:Del:T:2	0.00381783633492887	0.012269288673996926	0.04456480666995048	0.034548484906554225
1:Del:T:3	0.015723113156855106	0.011001046933233737	0.04618737027049065	0.02892189770936966
1:Del:T:4	0.04460174143314362	0.010671445913612843	0.02807677760720253	0.016637712344527246
1:Del:T:5	0.5996683835983276	0.08195757418870926	0.0019765513017773627	0.013197162887081504
1:Ins:C:0	0.00199612348806113	0.011686963960528374	0.007016253098845482	0.0020592163782566786
1:Ins:C:1	0.0003302326600532979	0.0005027781007811427	0.0029513359535485507	0.00463432443793863
1:Ins:C:2	0.00029236929840408265	0.002382564195431769	0.0015694151865318418	0.000654556680737528
1:Ins:C:3	0.0009974556742236018	0.000855032994877547	0.003058550599962473	0.0025555753885782907
1:Ins:C:4	0.003051085723564029	0.0021542261820286512	0.0003116030139267423	0.0
1:Ins:C:5	0.011642347648739814	0.021893194317817687	0.0010174219496548176	0.00045143356546759603
1:Ins:T:0	0.0009275674121454359	0.007520982995629311	0.009018655586987733	0.0011835455079562962
1:Ins:T:1	0.0008942070184275508	0.007960991468280554	0.035964229702949525	0.019232989475131034
1:Ins:T:2	0.0072776410728693005	0.004209063434973359	0.019291161559522152	0.008227197825908661
1:Ins:T:3	0.004539041500538588	0.005463077500462532	0.010357779823243618	0.011892590764909982
1:Ins:T:4	0.004770361818373203	0.016583582386374474	0.009671873040497303	0.002118611242622137
1:Ins:T:5	0.15374580025672913	0.5693687438964844	0.02990623880177736	0.030309506133198737
2:Del:R:0	0.0015279967570677399	0.004505485249683261	0.015464227832853793	0.0017383130267262458
2:Del:R:1	0.004908634815365076	0.00804300419986248	0.02473708614706993	0.01519871298223734
2:Del:R:2	0.002801125403493643	0.0018135472084395588	0.011910876631736756	0.0
2:Del:R:3	0.010649592615664005	0.0007425743679050356	0.0006852794022336184	0.0
2:Del:R:4	0.0077053139917552475	0.0	0.0003023959022755207	0.0018026366597041488
2:Del:R:5	0.01205062959343195	0.0	0.00014271674035626347	0.0007829813026205557
3:Del:R:0	0.00033656829327810556	0.0035608858335763214	0.002707067783921957	0.0071013003122061494
3:Del:R:1	0.005526464711874723	0.00618107495829463	0.03903679102659226	0.009853039775043726
3:Del:R:2	0.002208038046956062	0.0021696367068216203	0.0058963054325431585	0.0015834052014099599
3:Del:R:3	0.0013210718287155032	0.00043191431323066356	0.0009716209194039038	0.0
3:Del:R:4	0.0004327691334765404	5.1520732271370664e-05	8.968713842705256e-08	8.521115262283274e-08
3:Del:R:5	0.0005493600270710886	3.201783705435446e-05	0.00013892839786961987	4.006757876595657e-08
4:Del:R:0	0.00016194316849578173	0.003312616073526442	0.00534146863501519	0.0076198546215891835
4:Del:R:1	0.0022815072908997534	0.006713073933497071	0.014435025677084923	0.002721306018065661
4:Del:R:2	0.0012247370672412218	0.0026500506792217493	0.0013149231439456345	4.040581115987152e-05
