ID	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
smallrna.ncrna::gencode::5S_rRNA::ENSG00000201285.1	0.999789045769082	0.517141293965725	0.50254	0.803053056285117	0.845983216401997	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::5S_rRNA::ENSG00000212595.1	0.997051677777758	1	NA	0.999656499088387	0.999995649420296	1.60401950219337	2.49373526601785
smallrna.ncrna::gencode::5S_rRNA::ENSG00000261122.2	0.997921343033998	0.892874254315005	0.40988	0.881743776615548	0.918354439606981	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::5S_rRNA::ENSG00000271924.1	NA	1	NA	NA	NA	NA	NA
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272253.1	0.999999904337267	1	NA	0.999999999131854	0.999999999999996	1.60401950219337	2.49373526601785
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272351.1	1	1	NA	1	1	1.60401950219337	2.49373526601785
smallrna.ncrna::gencode::5S_rRNA::ENSG00000272435.1	1	1	NA	1	1	1.60401950219337	2.49373526601785
smallrna.ncrna::gencode::7SK::ENSG00000232512.2	0.649802420736407	0.765084991235389	0.34934	0.702215411773549	0.743819374052865	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::7SK::ENSG00000249352.3	0.0142489855017413	0.189241521225827	0.2183	0.0329020940307464	0.0212485097196759	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::7SK::ENSG00000254144.2	0.999392652099483	1	NA	0.999952123443955	0.999999815526914	1.60401950219337	2.49373526601785
smallrna.ncrna::gencode::7SK::ENSG00000260682.2	0.1402343933404	0.991506186134167	0.52776	0.494459058591618	0.515400261020333	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::7SK::ENSG00000271765.1	0.999416447901786	0.80237161947533	0.61139	0.938824333557172	0.964284216592943	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::7SK::ENSG00000271814.1	0.998056522093443	0.30181346959582	0.82577	0.7923770670389	0.835588946998541	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::7SK::ENSG00000271818.1	0.999184012540805	1	NA	0.999930808335112	0.999999666991644	1.60401950219337	2.49373526601785
smallrna.ncrna::gencode::ACA59::ENSG00000251775.1	0.998774152653992	1	NA	0.999885054840927	0.99999924834194	1.60401950219337	2.49373526601785
smallrna.ncrna::gencode::ACA59::ENSG00000252000.1	0.0656255550961019	0.685851650873536	0.11901	0.125603230972263	0.106611294382675	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::ACA59::ENSG00000252870.1	0.23609358514636	0.144988560214107	0.74127	0.295578014641113	0.289856425830824	1.27579467080705	4.70295113884156
smallrna.ncrna::gencode::ACA64::ENSG00000238685.1	0.9909021259391	1	NA	0.998597685045933	0.999958488262564	1.60401950219337	2.49373526601785
smallrna.ncrna::gencode::ACA64::ENSG00000238934.1	0.999330445229167	1	NA	0.99994593285112	0.99999977579816	1.60401950219337	2.49373526601785
